Date,Ticker,weight,future_return_5d,limit_up_est,limit_down_est,broken_limit_est,amount_rank,turnover_rank,one_line_like
2024-01-02,600589,0.1512367916017161,0.0537313413619995,0.0,0.0,0.0,0.00020424836839083582,0.00020424836839083582,0.0
2024-01-02,605178,0.1512367916017161,-0.275081958770752,1.0,0.0,0.0,0.18321079015731812,0.576797366142273,0.0
2024-01-02,2976,0.1325422986365709,-0.2398270606994628,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,603333,0.0606831803035475,-0.035143768787384,1.0,0.0,0.0,0.6762663125991821,0.7837010025978088,0.0
2024-01-02,1332,0.0033096616073839,-0.0215492129325866,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,605167,0.0009909990830921,-0.0515063190460205,1.0,0.0,0.0,0.772467315196991,0.9321895241737366,0.0
2024-01-02,2749,2.199274497419089e-07,0.0049950051307678,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,820,5.626284456784916e-08,-0.0601851844787597,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,688577,4.2780974020473803e-10,-0.102677583694458,0.0,0.0,0.0,0.2158905267715454,0.2118055522441864,0.0
2024-01-02,603099,2.848547718900889e-10,0.6158088302612305,1.0,0.0,0.0,0.8255718946456909,0.8832720518112183,0.0
2024-01-02,2482,2.3302613019054364e-10,-0.0430622005462646,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,603261,2.4175882131893912e-11,-0.0191897654533386,1.0,0.0,0.0,0.594362735748291,0.9542483687400818,0.0
2024-01-02,300672,5.156878362405439e-12,0.0110667073726654,0.0,0.0,0.0,0.9701797366142273,0.908088207244873,0.0
2024-01-02,600343,2.968289189614106e-13,-0.0708294486999511,1.0,0.0,0.0,0.8078022599220276,0.7681781053543091,0.0
2024-01-02,300269,1.3853907221964422e-13,-0.2,0.0,0.0,1.0,0.9904003143310547,0.9985702633857727,0.0
2024-01-02,600630,9.347493270214201e-14,-0.0014388489723205,0.0,0.0,0.0,0.991217315196991,0.991217315196991,0.0
2024-01-02,605118,4.2188494073719166e-14,-0.179267349243164,1.0,0.0,0.0,0.8237336874008179,0.6291871070861816,0.0
2024-01-02,678,2.910444446977261e-14,-0.0351123595237731,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,600556,2.826738550203701e-14,-0.0496575355529785,0.0,0.0,0.0,0.8408905267715454,0.6524714231491089,0.0
2024-01-02,2495,2.315363465276941e-14,-0.0940170955657959,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,2624,9.474549508046205e-16,-0.0594059419631958,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,300402,8.673585769243355e-16,-0.1114167785644531,0.0,0.0,1.0,0.9156454205513,0.9461805820465088,0.0
2024-01-02,601882,5.579865238902595e-16,-0.0592389154434204,0.0,0.0,0.0,0.6623774766921997,0.24836601316928864,0.0
2024-01-02,300010,3.985378732989636e-16,-0.0703703689575195,0.0,0.0,0.0,0.18872548639774323,0.37663400173187256,0.0
2024-01-02,688290,3.4616332236065904e-16,-0.0725025749206543,0.0,0.0,0.0,0.4452614486217499,0.6694239974021912,0.0
2024-01-02,688259,3.101410762730017e-16,0.0080610018968582,0.0,0.0,0.0,0.6192810535430908,0.7317197918891907,0.0
2024-01-02,603052,1.884601169960094e-16,-0.1454018211364746,1.0,0.0,0.0,0.7622548937797546,0.9658905267715454,0.0
